Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2013,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,15 years and over,33.4,15.2,18.2
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,15-24 years ,6.7,3.4,3.3
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25 years and over,26.8,11.8,14.9
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25-44 years,19.3,7.9,11.4
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,45 years and over,7.4,3.9,3.6
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25-54 years,24.8,10.6,14.1
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,55 years and over,2.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,55-64 years,2.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,15-29 years,12.9,5.1,7.8
2013,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25-64 years,26.7,11.8,14.9
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15 years and over,9.2,3.8,5.3
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15-24 years ,2.1,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25 years and over,7.1,2.8,4.2
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-44 years,5.0,1.7,3.3
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,45 years and over,2.1,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-54 years,6.7,2.6,4.1
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15-29 years,3.9,1.6,2.2
2013,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-64 years,7.1,2.8,4.2
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15 years and over,10.1,4.7,5.3
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15-24 years ,2.3,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25 years and over,7.8,3.4,4.4
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-44 years,5.6,2.2,3.4
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,45 years and over,2.2,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-54 years,7.2,2.9,4.2
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15-29 years,4.2,2.0,2.2
2013,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-64 years,7.8,3.4,4.4
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15 years and over,5.9,3.0,2.9
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25 years and over,4.8,2.7,2.1
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-44 years,3.4,2.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-54 years,4.5,2.5,1.9
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15-29 years,2.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-64 years,4.8,2.7,2.1
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,15 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25-44 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25-54 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,15-29 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,15 years and over,7.3,3.5,3.8
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25 years and over,6.3,2.8,3.4
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-44 years,4.6,1.9,2.7
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,45 years and over,1.6,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-54 years,5.8,2.4,3.3
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,15-29 years,2.5,0.0,1.7
2013,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-64 years,6.3,2.8,3.4
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15 years and over,2.2,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25 years and over,1.8,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-44 years,1.5,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-54 years,1.6,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15-29 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-64 years,1.8,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,15 years and over,2.1,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25 years and over,1.8,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25-44 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25-54 years,1.6,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,15-29 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25-64 years,1.8,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,15 years and over,3.1,0.0,1.8
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25 years and over,2.6,0.0,1.5
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-44 years,1.8,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-54 years,2.5,0.0,1.5
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,15-29 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-64 years,2.6,0.0,1.5
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,15 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25-44 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25-54 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,15-29 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15 years and over,21.7,22.1,21.3
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15-24 years ,16.8,16.1,17.6
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25 years and over,22.9,23.9,22.2
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-44 years,22.3,22.5,22.3
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),45 years and over,24.4,26.6,21.3
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-54 years,22.9,23.6,22.5
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),55 years and over,22.4,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),55-64 years,22.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15-29 years,19.5,14.6,22.9
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-64 years,22.9,23.9,22.1
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2013,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,15 years and over,145.4,76.1,69.2
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,15-24 years ,22.6,12.6,10.1
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,25 years and over,122.8,63.6,59.2
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,25-44 years,58.9,29.3,29.7
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,45 years and over,63.9,34.3,29.5
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,25-54 years,92.9,46.3,46.7
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,55 years and over,29.8,17.3,12.5
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,55-64 years,26.1,14.6,11.5
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,65 years and over,3.7,2.7,0.0
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,15-29 years,36.0,20.1,15.9
2013,Ontario,      Recent immigrants 5+ years,Total unemployed,25-64 years,119.0,60.9,58.2
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,15 years and over,42.5,20.6,21.9
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,15-24 years ,9.6,5.1,4.5
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25 years and over,32.9,15.5,17.4
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25-44 years,15.7,6.8,8.8
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,45 years and over,17.3,8.7,8.6
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25-54 years,24.9,11.0,13.9
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,55 years and over,8.1,4.6,3.5
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,55-64 years,7.0,3.7,3.3
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,15-29 years,13.4,7.0,6.4
2013,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25-64 years,31.9,14.7,17.2
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,15 years and over,34.9,18.0,16.9
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,15-24 years ,6.2,3.4,2.7
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25 years and over,28.7,14.6,14.1
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25-44 years,15.8,7.5,8.3
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,45 years and over,12.9,7.1,5.8
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25-54 years,23.1,11.0,12.1
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,55 years and over,5.6,3.5,2.1
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,55-64 years,4.6,2.9,1.7
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,15-29 years,9.9,5.6,4.3
2013,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25-64 years,27.7,13.9,13.8
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,15 years and over,22.3,13.6,8.7
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,15-24 years ,2.8,1.6,0.0
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25 years and over,19.5,12.0,7.5
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25-44 years,10.2,6.1,4.1
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,45 years and over,9.3,5.9,3.4
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25-54 years,15.3,9.5,5.8
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,55 years and over,4.2,2.5,1.7
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,55-64 years,3.9,2.3,1.5
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,15-29 years,5.4,3.5,1.9
2013,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25-64 years,19.2,11.8,7.3
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,15 years and over,2.9,1.5,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,15-24 years ,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,25 years and over,2.6,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,25-44 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,45 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,25-54 years,1.9,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,55 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,55-64 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,15-29 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   26 weeks ,25-64 years,2.5,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,15 years and over,38.5,20.3,18.2
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,15-24 years ,2.7,1.7,0.0
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25 years and over,35.8,18.7,17.2
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25-44 years,14.2,7.6,6.5
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,45 years and over,21.7,11.0,10.7
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25-54 years,25.2,12.9,12.4
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,55 years and over,10.6,5.8,4.8
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,55-64 years,9.3,4.8,4.6
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,15-29 years,5.3,3.0,2.3
2013,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25-64 years,34.6,17.6,16.9
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,15 years and over,14.2,7.9,6.2
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25 years and over,12.9,7.1,5.8
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25-44 years,5.3,2.8,2.5
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,45 years and over,7.6,4.4,3.3
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25-54 years,9.1,4.8,4.3
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,55 years and over,3.8,2.3,0.0
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,55-64 years,3.4,2.1,0.0
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,15-29 years,2.2,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25-64 years,12.5,6.9,5.6
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,15 years and over,11.2,6.0,5.2
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,15-24 years ,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,25 years and over,10.1,5.3,4.8
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,25-44 years,4.3,2.3,1.9
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,45 years and over,5.9,3.0,2.9
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,25-54 years,7.4,4.0,3.3
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,55 years and over,2.8,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,55-64 years,2.4,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,15-29 years,2.2,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      52 weeks,25-64 years,9.8,5.1,4.7
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,15 years and over,13.1,6.3,6.8
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25 years and over,12.8,6.2,6.7
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25-44 years,4.6,2.5,2.1
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,45 years and over,8.2,3.7,4.5
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25-54 years,8.8,4.0,4.7
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,55 years and over,4.1,2.1,1.9
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,55-64 years,3.5,1.7,1.9
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,15-29 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25-64 years,12.3,5.7,6.6
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,15 years and over,4.3,2.1,2.2
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,15-24 years ,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,25 years and over,3.2,0.0,1.8
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,25-44 years,1.6,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,45 years and over,1.6,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,25-54 years,2.6,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,55 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,55-64 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,65 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,15-29 years,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,   Duration unknown,25-64 years,3.2,0.0,1.8
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),15 years and over,24.2,24.1,24.3
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),15-24 years ,12.3,13.1,11.3
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25 years and over,26.3,26.2,26.5
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25-44 years,22.3,23.6,21.0
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),45 years and over,30.0,28.3,32.0
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25-54 years,24.3,25.3,23.4
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),55 years and over,32.5,28.6,38.0
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),55-64 years,32.7,27.5,39.4
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),65 years and over,32.2,36.0,0.0
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),15-29 years,14.6,14.7,14.5
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25-64 years,26.2,25.8,26.6
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2013,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
